ITEM_ID,CATEGORY,STYLE
e1669081-8ffc-4dec-97a6-e9176d7f6651,apple,scarf
cfafd627-7d6b-43a5-be05-4c7937be417d,huawei,kitchen
6e6ad102-7510-4a02-b8ce-5a0cd6f431d1,huawei,jacket
49b89871-5fe7-4898-b99d-953e15fb42b2,meizu,speaker
5cb18925-3a3c-4867-8f1c-46efd7eba067,meizu,sandals
91cc9fa1-d8e9-46ae-9c8d-86264de2c6cc,samsung,bowls
ee0cec46-8edf-4436-84f0-d83e7f9c453f,samsung,chairs
0d6971a2-cffb-4602-9d4a-8edef2ac9d22,vestel,decorative
7f9e25ec-34a9-4b27-9f97-041c58e6640e,xiaomi,glasses
eb8f10ab-1317-4a11-b058-b2098bb64326,xiaomi,kitchen
b11944ce-c888-4ddb-8f64-f89a6d628288,apple,glasses
a6432520-a9fe-42a3-8e04-58cd50d18fb0,samsung,easter
8a4af646-ffb5-4413-a201-750537e2a318,samsung,formal
95677239-43cc-44e4-a97f-4a9c072210ae,samsung,chairs
ab6462b7-2061-42ba-a19f-a1efc877d800,samsung,chairs
e1d2ec50-2970-43be-aeb7-fc90779086b7,samsung,bouquet
1de0c711-042b-4b47-93d9-3a7d8d969ac6,huawei,jacket
e65ad5b5-6860-4444-b873-9368c49cf30c,xiaomi,plier
25a3547f-4a86-46f5-857a-fc17aa2b8fa0,apple,kayaking
2a33865f-f45b-475f-9e35-29c8de4dc42d,meizu,camping
dd9e97a6-4281-40a5-9048-fde7809623fb,vestel,cable
87603f27-7e5a-441e-95f6-ee33878695da,asus,tables
4e3dc511-426f-4fdd-9e15-58a7c74c9ff4,asus,lighting
8cab347e-fa92-46c5-8a0e-371229e1c539,huawei,dressers
